puisi,title,author,puisi_with_header
"Ketika aku sakit dalam renung pilutakkan pernah ku ubah sedetik apapuncerita telah merubah segalanyadalam kondisi apapun Jeritan hatiku hanya bisa ku lantunkan untukmu papah............ 
 dimanakah engkau berada rindunya seorang anak takkan pernah bisa terlupakan dalam sekejap 
 Kenangan yang begitu indahtakkan pernah bisa hilang begitu sajapapah............ 
 tolonglah aku kembalikan kebahagiaanku 
 Yang selama ini kau rebut dari aku 
  
 ",JANGAN KAU REBUT KEBAHAGIANKU PAPAH,Oleh adi,"JANGAN KAU REBUT KEBAHAGIANKU PAPAH 
 Oleh adi 
  
 Ketika aku sakit dalam renung pilutakkan pernah ku ubah sedetik apapuncerita telah merubah segalanyadalam kondisi apapun Jeritan hatiku hanya bisa ku lantunkan untukmu papah............ 
 dimanakah engkau berada rindunya seorang anak takkan pernah bisa terlupakan dalam sekejap 
 Kenangan yang begitu indahtakkan pernah bisa hilang begitu sajapapah............ 
 tolonglah aku kembalikan kebahagiaanku 
 Yang selama ini kau rebut dari aku 
  
 "
"Sang sinar kehidupan mulai muncul 
 Dengan wajah yang ceria dia memancarkan kehangatannya 
 Bukan hanya aku tapi semua merasakannyaskenario serta irama kehidupan yang kan selalu terjadi didalam hidup 
 Kicauannya pun tidak mau kalah 
 Bernyanyi bersukari menyambut mentari 
 Sebagai tanda ucapan syukur 
 Alunan syair yang begitu lembut 
 Menghangatkan jiwa raga dan membangkitkan semangat 
 Hai, sang maha pencipta Engkaulah yang empunyai semua ini 
 Berkatilah kami dalam hari ini 
 Hingga kiranya kami bekerja 
  
 ",SENANDUNG INDAH MENYAMBUT PAGI,Oleh Dina Maria Odjan,"SENANDUNG INDAH MENYAMBUT PAGI 
 Oleh Dina Maria Odjan 
  
 Sang sinar kehidupan mulai muncul 
 Dengan wajah yang ceria dia memancarkan kehangatannya 
 Bukan hanya aku tapi semua merasakannyaskenario serta irama kehidupan yang kan selalu terjadi didalam hidup 
 Kicauannya pun tidak mau kalah 
 Bernyanyi bersukari menyambut mentari 
 Sebagai tanda ucapan syukur 
 Alunan syair yang begitu lembut 
 Menghangatkan jiwa raga dan membangkitkan semangat 
 Hai, sang maha pencipta Engkaulah yang empunyai semua ini 
 Berkatilah kami dalam hari ini 
 Hingga kiranya kami bekerja 
  
 "
"Rasa ini tercipta tanpa aku sadari 
 Sungguh kuat 
 Sungguh hebat 
 Apakah salah bila rasa ini tercipta untuk dirimu ? 
 Apakah salah aku merasakan rasa ini ? 
 Apa tidak bisakah aku memiliki rasa ini dalam nyata rasa ? 
 Dan apakah salah aku bertanya tentang semua rasa ini ? 
 Suatu pertanyaan rasa untuk dirimu 
 Dan suatu harapan rasa untuk diriku 
  
 ",RASA,Oleh Liberty Djoogja,"RASA 
 Oleh Liberty Djoogja 
  
 Rasa ini tercipta tanpa aku sadari 
 Sungguh kuat 
 Sungguh hebat 
 Apakah salah bila rasa ini tercipta untuk dirimu ? 
 Apakah salah aku merasakan rasa ini ? 
 Apa tidak bisakah aku memiliki rasa ini dalam nyata rasa ? 
 Dan apakah salah aku bertanya tentang semua rasa ini ? 
 Suatu pertanyaan rasa untuk dirimu 
 Dan suatu harapan rasa untuk diriku 
  
 "
"Ketika hati tersakiti... 
 Ketika janii di ingkari... 
 Ketika semua kian tak pasti... 
 Dan ketika itu pula aku merasa hidup ini semakain tak berarti... 
  
 Kata cinta dan sayang yang dulu kau ucap... 
 kini tlah lenyap... 
 Lenyap,, 
 bagai sang surya di telan senja... 
  
 Saat malam datang... 
 Aku selalu bimbang... 
 Dan saat malam tiba... 
 Aku selalu sengsara... 
  
 Sunyi... 
 Sepi... 
 Selalu menghiasi kegundahan dihati... 
  
 (Ksatria_pingitan) 
  
 ",JAMBU,Puisi Ahmad You'stia Raffel,"JAMBU 
 Puisi Ahmad You'stia Raffel 
  
 Ketika hati tersakiti... 
 Ketika janii di ingkari... 
 Ketika semua kian tak pasti... 
 Dan ketika itu pula aku merasa hidup ini semakain tak berarti... 
  
 Kata cinta dan sayang yang dulu kau ucap... 
 kini tlah lenyap... 
 Lenyap,, 
 bagai sang surya di telan senja... 
  
 Saat malam datang... 
 Aku selalu bimbang... 
 Dan saat malam tiba... 
 Aku selalu sengsara... 
  
 Sunyi... 
 Sepi... 
 Selalu menghiasi kegundahan dihati... 
  
 (Ksatria_pingitan) 
  
 "
"Oleh Muhammad Arief (Mr. Like) 
  
 Aku duduk dipinggir berandamu siang inidisaat matahari menarik sinarnya ketengah bumitak ada yang dapat kulakukan disinihanya bisa diam membisu dan mengoceh dalam hati 
 Ingin sekali aku menamparmulalu mengulum seluruh kesangsianmuyang terlalu lancang membuatku rindurindu yang begitu perih menguntai rasa 
 Arggghhaku menatap kembali matahari dari tempatku duduknamun gemawang menghalangi pandangankusperti itulah kira kira rasa inirasa yang akan selalu terhalang oleh keadaan kitayang tak mungkin bersatu 
 Kau hanya akan kusimpan di HATI-ku sajadi kisi kisi khalbu yang paling dalam 
 Karena kusadari 
 Cinta kita hanyalah segelintir DEB 
 Uyang akan hilang tersapu angin waktuhingga keadaan yang akan memisahkan kitakau dan aku... 
 nanti bukanlah lagi KIT 
 Amelainkan hanyalah tinggalSEJARAH CINTA 
  
 ",SEJARAH CINTA,,"SEJARAH CINTA 
 Oleh Muhammad Arief (Mr. Like) 
  
 Aku duduk dipinggir berandamu siang inidisaat matahari menarik sinarnya ketengah bumitak ada yang dapat kulakukan disinihanya bisa diam membisu dan mengoceh dalam hati 
 Ingin sekali aku menamparmulalu mengulum seluruh kesangsianmuyang terlalu lancang membuatku rindurindu yang begitu perih menguntai rasa 
 Arggghhaku menatap kembali matahari dari tempatku duduknamun gemawang menghalangi pandangankusperti itulah kira kira rasa inirasa yang akan selalu terhalang oleh keadaan kitayang tak mungkin bersatu 
 Kau hanya akan kusimpan di HATI-ku sajadi kisi kisi khalbu yang paling dalam 
 Karena kusadari 
 Cinta kita hanyalah segelintir DEB 
 Uyang akan hilang tersapu angin waktuhingga keadaan yang akan memisahkan kitakau dan aku... 
 nanti bukanlah lagi KIT 
 Amelainkan hanyalah tinggalSEJARAH CINTA 
  
 "
"Tatapkan arah pandangan kedeapan 
 Menembus ribuan gumpalan awan-awan 
 Ke atmosfer melayang terbang bentang 
 Damparkan bintang-bintang. 
  
 Peluk dan jangan lepaskan 
 Dibalik cita masa kecil 
 Biarkan radio pancarkan sinyalnya 
 Menjawab kemurnian pejuang kita. 
  
 Hinggap disatu titik 
 Lindungi perisai lingkaran 
 Tambah tembok tinggi panjang 
 Hati diam tiada bimbang 
  
 ",PEJUANG PAMERAN BAKAT,Oleh Guratan Tinta,"PEJUANG PAMERAN BAKAT 
 Oleh Guratan Tinta 
  
 Tatapkan arah pandangan kedeapan 
 Menembus ribuan gumpalan awan-awan 
 Ke atmosfer melayang terbang bentang 
 Damparkan bintang-bintang. 
  
 Peluk dan jangan lepaskan 
 Dibalik cita masa kecil 
 Biarkan radio pancarkan sinyalnya 
 Menjawab kemurnian pejuang kita. 
  
 Hinggap disatu titik 
 Lindungi perisai lingkaran 
 Tambah tembok tinggi panjang 
 Hati diam tiada bimbang 
  
 "
"Senja 
 Langit senja 
 Kau bahagiaku 
 Keindahanmu selalu kutunggu 
 Aku ingin dilangit senja 
 Kau ada dan berjanji 
 Kau akan selalu ada 
 Dan tak kemana mana 
 Seperti halnya langit senja 
 Yang akan sama dan tetap ada 
 Meskin kehadirannya tak lama 
 Namun senja selalu hadir menyapa 
 Dan menghiasi langit yg termenung tak berwarna 
  
 ",PERINDU SENJA,Oleh Evika,"PERINDU SENJA 
 Oleh Evika 
  
 Senja 
 Langit senja 
 Kau bahagiaku 
 Keindahanmu selalu kutunggu 
 Aku ingin dilangit senja 
 Kau ada dan berjanji 
 Kau akan selalu ada 
 Dan tak kemana mana 
 Seperti halnya langit senja 
 Yang akan sama dan tetap ada 
 Meskin kehadirannya tak lama 
 Namun senja selalu hadir menyapa 
 Dan menghiasi langit yg termenung tak berwarna 
  
 "
"Uoleh Eggady Peterson 
 Langkahku terus berjalan 
 Mengejarmu didalam angan 
 Berlari mengikuti bayangan 
 Hingga terjatuh dan tercampakkan 
 Lihat langkahku terus mendaki 
 Menuju atas menjulang tinggi 
 Aral rintangan datang dan seringkali 
 Harus kulalui yang terlewati 
 Tiada lelah terus menanti 
 Hingga terjadi datangnya pagi 
 Dan kan hilang bagaikan mimpi 
 Tak akan lelah tetap disini 
 Memendam cinta didalam dada 
 Merindukanmu terasa nyata 
 Jika kufikir dalam kepala 
 Mungkin tak mungkin begitu adanya 
 Yang tidak nyata terasa ada 
 Yang tidak mungkin seperti nyata 
 Apakah ini sebuah cinta? 
 Sadarkan aku oleh karenanya 
  
 ",SADARKAN AK,,"SADARKAN AK 
 Uoleh Eggady Peterson 
 Langkahku terus berjalan 
 Mengejarmu didalam angan 
 Berlari mengikuti bayangan 
 Hingga terjatuh dan tercampakkan 
 Lihat langkahku terus mendaki 
 Menuju atas menjulang tinggi 
 Aral rintangan datang dan seringkali 
 Harus kulalui yang terlewati 
 Tiada lelah terus menanti 
 Hingga terjadi datangnya pagi 
 Dan kan hilang bagaikan mimpi 
 Tak akan lelah tetap disini 
 Memendam cinta didalam dada 
 Merindukanmu terasa nyata 
 Jika kufikir dalam kepala 
 Mungkin tak mungkin begitu adanya 
 Yang tidak nyata terasa ada 
 Yang tidak mungkin seperti nyata 
 Apakah ini sebuah cinta? 
 Sadarkan aku oleh karenanya 
  
 "
"Melewati hari 
 Melewati banyak cerita 
 Menuliskan banyak angan tentangmu 
 Dan akhirnya 
 Hanya bermuara kesatu makna 
 Kangen kamu 
 Kangen yang tak mungkin terangkai kata 
 Kangen yang begitu saja menggoda 
 Kangen yang selalu ada 
 Setiap mata terjaga 
  
 Ya honey 
 Kangenku ada tak harus ditanya 
 Kangenku ada tak butuh raga 
 Aku hanya ingin sapa 
 Aku ingin ucapan manja 
 Aku ingin puisi cinta 
 Darimu wahai arjuna... 
  
 Dan semoga engkau disana 
 Punya kangen yang sama 
 Walau kita tak bersua muka 
 Walau jarak kian memisah raga 
 Namun kangenku akanmu 
 Kan terjaga selamanya 
 Selama aku masih bernyawa 
  
 Honey 
 Aku kangen kamu 
 Selamanya 
  
 ",KANGEN,Oleh Aning s. Ningsih,"KANGEN 
 Oleh Aning s. Ningsih 
  
 Melewati hari 
 Melewati banyak cerita 
 Menuliskan banyak angan tentangmu 
 Dan akhirnya 
 Hanya bermuara kesatu makna 
 Kangen kamu 
 Kangen yang tak mungkin terangkai kata 
 Kangen yang begitu saja menggoda 
 Kangen yang selalu ada 
 Setiap mata terjaga 
  
 Ya honey 
 Kangenku ada tak harus ditanya 
 Kangenku ada tak butuh raga 
 Aku hanya ingin sapa 
 Aku ingin ucapan manja 
 Aku ingin puisi cinta 
 Darimu wahai arjuna... 
  
 Dan semoga engkau disana 
 Punya kangen yang sama 
 Walau kita tak bersua muka 
 Walau jarak kian memisah raga 
 Namun kangenku akanmu 
 Kan terjaga selamanya 
 Selama aku masih bernyawa 
  
 Honey 
 Aku kangen kamu 
 Selamanya 
  
 "
"Hei.. 
 apa kabar mentari...? 
 Apakah hangatmu masih seperti dulu...? 
 Apakah cahaya mu tlah mulai benderang...? 
 Apakah kau sudah mulai tersenyum...? 
 Hei.. 
 mentari terima kasih 
 Lelah mencerahkan jalanku 
 Untuk memulai hari iniHei.. 
 mentari 
 Bagaimana hari ini 
 Ceritakanlah hari yang telah kau lalui Matahari terlihat tersenyum samar 
 Kemudian hilang meninggalkan 
 Jejak merah di langit senja 
 Ia pergi tanpa menjawab tanyaku.... 
  
 ",MATAHARI ITU BISU,Oleh Kendra,"MATAHARI ITU BISU 
 Oleh Kendra 
  
 Hei.. 
 apa kabar mentari...? 
 Apakah hangatmu masih seperti dulu...? 
 Apakah cahaya mu tlah mulai benderang...? 
 Apakah kau sudah mulai tersenyum...? 
 Hei.. 
 mentari terima kasih 
 Lelah mencerahkan jalanku 
 Untuk memulai hari iniHei.. 
 mentari 
 Bagaimana hari ini 
 Ceritakanlah hari yang telah kau lalui Matahari terlihat tersenyum samar 
 Kemudian hilang meninggalkan 
 Jejak merah di langit senja 
 Ia pergi tanpa menjawab tanyaku.... 
  
 "
